,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
558,558,38284671,데이터분석,서울,중구,주식회사 성진에이치디에스,최고의복지로함께성장할'데이터분석가'를찾습니다,경력무관,학력무관,정규직,0713,6228600629,"4,185","서울 중구 삼일대로 343, 16층 111호"
559,559,38352904,데이터분석,서울,강남구,(주)어센트코리아,SEO데이터분석(SEO무경력자지원가능)채용,경력2년,대졸,정규직,0723,1048652347,"3,748","서울 강남구 테헤란로2길 8, 5층 5호"
560,560,38193633,데이터분석,서울,강남구,(주)메큐라이크,광고데이터분석가(AdDataAnalyst)신입/경력채용,경력무관,학력무관,정규직,채용시,2118876923,"4,420","서울 강남구 삼성로 511, 16층"
561,561,38175492,데이터분석,서울,영등포구,콴텍(주),"[콴텍,금융]함께성장할금융데이터분석전문가모십니다.",경력3년,초대졸,정규직계약직,0717,1148680501,None,"서울 영등포구 여의대로 14, 14층"
562,562,38365672,데이터분석,서울,성동구,(주)제나,"뇌/맥파데이터분석,머신러닝알고리즘개발경력자모집",경력3년,대졸,정규직,0710,3208800921,"4,502","대구 달서구 성서공단로 46-17, 신기술산업지원센터 1동 모바일융합센터 4층 403호"
563,563,38372962,데이터분석,서울,마포구,데이터핏,빅데이터분석경력사원채용합니다(정규직),경력1년,학력무관,정규직,0728,6402600846,None,"서울 마포구 마포대로4나길 46, 2층 201호 E05"
564,564,38235787,데이터분석,서울,강남구,(주)엠로,"[경력직채용]신용평가모형,금융컨설팅,빅데이터분석",경력2년,대졸,정규직,0731,2208181381,"4,906","서울 영등포구 당산로41길 11, E동 5층"
565,565,38161358,데이터분석,서울,구로구,(주)나눔디지털디자인학원,빅데이터분석및빅데이터UI전문직업능력개발훈련교강사,경력1년,대졸,정규직전임,0713,6028601380,None,"서울 구로구 디지털로26길 5, 402호"
566,566,38176708,데이터분석,서울,구로구,(주)신나는세상,빅데이터분석컨설팅컨설턴트/분석가모집(PM/PL급),경력,대졸,정규직,0717,8318101057,"3,611",서울 구로구 디지털로30길 31
567,567,38170602,데이터분석,서울,강남구,㈜이씨마이너,빅데이터분석/AI솔루션개발-신입/경력모집,경력무관,대졸,정규직,0717,1088121609,"3,724","서울 강남구 도곡로 151, 3층"
568,568,38165330,데이터분석,서울,강남구,(주)토이스미스,데이터분석전문가&PM,경력2년,학력무관,정규직보충역,채용시,1138657313,"3,157","서울 강남구 논현로67길 23, 2층"
569,569,38298995,데이터분석,서울,마포구,(주)캐스팅엔,B2B데이터관리및분석전문가를모십니다.,경력무관,학력무관,정규직,0811,4238600075,"4,276","인천 부평구 대정로 66, 4층 408호"
570,570,38306558,데이터분석,서울,강남구,콘센트릭스서비스코리아(유),[디지털마케팅전문/콘센트릭스]데이터분석경력직채용,경력3년,대졸,정규직,0712,1048653370,None,
571,571,38356096,데이터분석,서울,구로구,디알엑스(주),LoL전력분석가/코치및데이터사이언티스트모집,경력무관,학력무관,정규직계약직,채용시,3528801475,None,
572,572,38308975,데이터분석,서울,강남구,(주)그루넷,2020상반기SAS빅데이터/DataAnalysis/Python/R추가인재모집,경력무관,대졸,정규직,0717,2648125337,"3,062","서울 강남구 논현로 507, 1315호"
573,573,38330560,데이터분석,서울,중구,(주)더식스데이,[돌로박스]DataAnalyst,경력무관,대졸,정규직,0817,6998100658,"2,935","서울 중구 필동로 15, 5층"
574,574,38179994,데이터분석,서울,서초구,크레돈(주),SalesDataAnalysisandOperationsAssistant(계약직1년+1년,경력,대졸,계약직,채용시,1138605455,"3,134","서울 구로구 디지털로34길 27, 507호"
575,575,38266442,데이터분석,서울,성동구,(주)시드원커뮤니케이션스,"[경력]영어권시장동향분석,자료조사및번역",경력1년,대졸,정규직,0804,1078660375,None,
576,576,38189113,데이터분석,서울,마포구,(주)매니즈,2020년하반기백엔드/DataAnalysis모집합니다,경력무관,학력무관,정규직,0719,8028701328,None,"대전 서구 월평북로 85, 520호"
577,577,38285560,데이터분석,서울,강남구,(주)트랜스코스모스코리아,"[연봉2,500만]CNC컴퍼니Dataanalyst(경력무관)",경력무관,학력무관,계약직파견직(정규직전환가능),0710,1068199659,"2,876","서울 용산구 원효로90길 11, 21층"
578,578,38380134,데이터분석,서울,금천구,(주)아이뱅크,클라우드/DataAnalysis/로그분석外정규직채용-경력사원,경력1년,대졸,정규직,0729,1168168774,"3,528","서울 금천구 가산디지털1로 145, 701호"
579,579,38175252,데이터분석,서울,금천구,(주)전략해양,"해양관측자료분석,해양수치모델링(신입,경력)모집",경력무관,대졸,정규직,0717,1198633565,None,"서울 금천구 가산디지털2로 53, 1108호"
580,580,38378336,데이터분석,서울,강남구,(주)아이소바코리아,"[외국계광고대행사]iProspect,WebDataAnalysis모집",경력3년,대졸,기간제계약직,0828,2118690498,"4,310","서울 강남구 테헤란로79길 6, ,20  9층"
581,581,38239403,데이터분석,서울,서초구,유한책임회사딜리버리히어로코리아,[Sr.Analyst]DataEngineer,경력3년,대졸,정규직,0731,2118868802,None,"서울 서초구 서초대로38길 12, 17층"
582,582,38239896,데이터분석,서울,서초구,유한책임회사딜리버리히어로코리아,[Sr.Analyst]DataScientist,경력3년,대졸,정규직,0731,2118868802,None,"서울 서초구 서초대로38길 12, 17층"
583,583,38390870,데이터분석,서울,서초구,한미금융그룹,"한미금융그룹채용(부동산매각,임대,영업,물류센터개발,PF,리츠,구조화금융,M&A,온라인마케팅)",경력무관,학력무관,정규직,0731,4158800156,None,서울 강남구 강남대로 324 역삼디오슈페리움(역삼동)
584,584,38316314,데이터분석,서울,구로구,(주)사람인에이치알,[사람인LAB]검색/추천/AI(인공지능)연구원채용,경력무관,학력무관,정규직,0712,1138600917,"4,315","서울 구로구 디지털로34길 43, 201호"
585,585,38213643,데이터분석,서울,강남구,현대글로비스㈜,현대글로비스전문인력상시채용(부문:신사업/연구소),경력,대졸,정규직,0731,1068197118,"6,148",서울 강남구 테헤란로 301
586,586,38415337,데이터분석,서울,서초구,(주)아이센스,2020년하반기신입및경력수시채용,경력무관,초대졸,정규직,0719,2108129428,"4,314",서울 서초구 반포대로28길 43
587,587,38392984,데이터분석,서울,금천구,㈜ 컴투스,[컴투스/게임빌컴투스플랫폼/게임빌]각부문별채용,경력무관,대졸,정규직기간제,0731,1088116843,None,"서울 금천구 가산디지털1로 131, A동"
